"Edwardo Miller",clementina.boyer@example.com,0
"Dr. Hermann Predovic",ecorwin@example.org,1
"Effie Legros",egreenholt@example.net,0
"Shania Erdman I",marcus68@example.net,1
"Dr. Arlo Flatley Sr.",hudson.kertzmann@example.org,1
"Brandy Keeling Sr.",weimann.bethel@example.com,0
"Rogers O'Reilly",ollie.grady@example.com,0
"Sabrina O'Keefe",rollin22@example.com,0
"Lonnie O'Conner MD",adrain14@example.org,1
"Ciara Luettgen V",johnston.julien@example.net,1
"Diamond Macejkovic DVM",kohler.tatum@example.net,1
"Thalia Ernser",xdeckow@example.com,1
"Jeanne Kilback II",royce11@example.com,1
"Ms. Lauriane Larkin",loyal33@example.com,0
"Mr. Kendrick Stokes",goyette.marina@example.org,1
"Dulce Reinger",cecile02@example.org,0
"Prof. Franco Harvey I",fredy.hettinger@example.com,1
"Alexandrea Mertz Jr.",ymills@example.net,0
"June Schaden MD",karolann82@example.net,1
"Malinda Cronin",stefan78@example.net,0
"Horacio Erdman",buckridge.lauriane@example.com,0
"Lelia Kuhic",mdickinson@example.com,0
"Ericka Gutmann",blanda.eileen@example.com,0
"Zane Romaguera",cynthia43@example.com,0
"Sister Larson",kraig77@example.com,1
"Prof. Valentin Hauck",pearline13@example.org,0
"Prof. Miguel Morissette Jr.",burnice54@example.com,1
"Dr. Carolanne Schmidt PhD",horace.kuphal@example.net,0
"Efrain Stracke",leannon.jasmin@example.org,1
"Mr. Earl Orn",erdman.mose@example.net,0
